Network,score,WCut,nWCut,graph ratio,nGraph,leak + skip,nls,Baseline,RE,PFL,NFL,ACDC1,ACDC2,ACDC3,Strict Verd,Reinitz,Ultra Strong
90,0.17540435675703545,0.09937079212556163,0.1669722201532215,0.07324323796107886,0.27936837944545556,0.9742844604350329,0.0798724706724292,True,4,0,2,False,False,False,False,False,False
105,0.1800445094680858,0.1460401236201074,0.2516505521278235,0.04807072436799662,0.1724105325868891,0.9626296448973553,0.11607244368954484,True,4,1,1,False,False,False,False,False,False
108,0.3178883006399387,0.07811203176727935,0.12839964348801858,0.15823185727446495,0.6404844712345676,0.9405085491412107,0.1847807871972299,True,4,2,0,False,False,False,False,False,False
114,0.2167558070001342,0.21402296567678042,0.37500080129358826,0.06762626354814875,0.25550189162551185,0.993636537077592,0.019764728081302474,True,4,0,2,False,False,False,False,False,False
123,0.20552281151047613,0.09826993192544733,0.1649747840962298,0.08451122602824378,0.327245987600693,0.9599653845504545,0.1243476628345056,True,2,1,1,False,False,False,False,False,False
128,0.2823450475723814,0.039630145222984095,0.05857687424206027,0.15918550278279453,0.6445365048092085,0.9536633761374191,0.1439217636658754,True,7,1,1,False,False,False,False,False,False
138,0.1424966931923716,0.09003966077018755,0.15004151612757397,0.055794683759799214,0.20522958590531662,0.976748552068083,0.07221897754422424,True,5,0,2,False,False,False,False,False,False
167,0.20551649079009773,0.05080776323530296,0.07885790288381499,0.11679870510895499,0.4644352766319212,0.9764145816921763,0.07325629285455704,True,3,1,1,False,False,False,False,False,False
222,0.16860074903826053,0.06247225558848919,0.10002233194605141,0.08962104971904229,0.34895759529428855,0.9817056056259197,0.05682231987444164,True,2,1,1,False,False,False,False,False,False
312,0.22548431188217946,0.0953009046543569,0.15958768578451674,0.12315502498329714,0.4914432385182059,0.9918151381268854,0.02542201134381572,True,5,1,1,False,False,False,False,False,False
384,0.2332124722226617,0.07024045978488888,0.11411721080383204,0.12726304579339723,0.5088981922745618,0.9753309661242969,0.0766220135895912,False,7,2,0,False,False,False,False,False,True
386,0.246984135194566,0.05604809209102975,0.08836612364230557,0.12792002385340023,0.5116896877869747,0.9546373490353982,0.1408965941544178,False,6,2,0,False,False,False,False,False,True
407,0.23909681631695434,0.14929681200768935,0.2575595919959803,0.0715407718188568,0.27213461185810894,0.9396020942535851,0.18759624509677375,True,3,0,2,False,False,False,False,False,False
470,0.2162335935750839,0.17064485436750687,0.2962941647884738,0.06788233368479953,0.2565899319739526,0.9691511178022886,0.09581668396282528,True,3,0,2,False,False,False,False,False,False
549,0.2655383568226529,0.042005882162030925,0.06288748754562652,0.1298353423377531,0.5198278635943796,0.9311335205333919,0.2138997193279526,True,5,1,1,False,False,False,False,False,False
736,0.395448299956266,0.041465833130723925,0.06190760526124194,0.19399767613816415,0.7924532034253032,0.8931154929731586,0.3319840911822528,True,5,1,1,False,False,False,False,False,False
830,0.18995467625127768,0.05671764789042444,0.0895809871606161,0.080542344686387,0.31038223654172853,0.9452992556710349,0.1699008050514884,True,3,1,1,False,False,False,False,False,False
833,0.17231397686264802,0.03964271046009965,0.05859967301131058,0.11274471373018358,0.447209893578568,0.996415782548207,0.011132363998065498,True,6,0,2,False,False,False,False,False,False
834,0.22733550407165373,0.08391827620848998,0.13893467963645753,0.13414025246593422,0.5381193987852246,0.9984054510636629,0.004952433793279032,False,6,1,1,False,False,False,True,False,False
897,0.1517906729983335,0.02171381304231671,0.02606890647013913,0.10707959559558425,0.42313884339775965,0.9980152928369961,0.0061642691271016625,True,6,0,2,False,False,False,False,False,False
1039,0.12071724875403785,0.07710021528562229,0.12656377120985784,0.04833308405896494,0.17352529721079865,0.9800184384717319,0.062062677841457026,True,4,0,2,False,False,False,False,False,False
1069,0.08286403408002029,0.04075891466652374,0.0606249497255072,0.043697150549177874,0.15382724582023077,0.9890083553113596,0.034139906694322875,True,4,1,1,False,False,False,False,False,False
1154,0.1300967642541092,0.05006946339959508,0.0775183079810645,0.07645283173784065,0.2930059225689773,0.9936361075454897,0.01976606221228583,True,6,0,2,False,False,False,False,False,False
1163,0.1836855536801741,0.04631473807492676,0.07070561391980787,0.09885369157626957,0.3881870306152287,0.9703271177240466,0.09216401650548578,True,4,1,1,False,False,False,False,False,False
1328,0.27596604763426896,0.023164989487396627,0.02870196755833066,0.18423557221383355,0.7509740872180563,0.9844745058833061,0.048222088126419926,True,6,1,1,False,False,False,False,False,False
1344,0.3268213257619706,0.0772399931601078,0.12681738866867598,0.18354758392946635,0.7480508294636118,0.9660026812710251,0.10559575915362407,False,7,2,0,False,False,False,False,True,True
1346,0.28849230282771005,0.03843717835349054,0.056412316889841004,0.17226839377967001,0.7001256237319878,0.9649263135960129,0.1089389678613013,False,6,2,0,False,False,False,False,False,True
1362,0.36086779435580124,0.04361289304195637,0.06580329963076487,0.21748428830678648,0.8922476660747705,0.9598994625055461,0.1245524173618684,True,5,2,0,False,False,False,False,False,True
1393,0.19366327787664883,0.06062863187574124,0.09667720194772339,0.10587235133066593,0.4180092703525195,0.9786531229841811,0.0663033613297036,True,4,0,2,False,False,False,False,False,False
1404,0.35488878327901247,0.031929994242910834,0.04460547332277768,0.2298313172423688,0.9447101118757025,0.975740252949449,0.07535076463855739,True,3,2,0,False,False,False,False,False,False
1445,0.24685703763730918,0.03255508952228036,0.045739666247490894,0.15597481402387722,0.6308943091136157,0.9794149440399786,0.06393713755082098,True,4,2,0,False,False,False,False,False,False
1461,0.3554614376832565,0.03019017908010222,0.04144869688710125,0.22256376078934964,0.913830311681588,0.9642288475044194,0.11110530448108014,True,3,2,0,False,False,False,False,False,False
1576,0.3882886723189931,0.0643933777466335,0.10350807760945609,0.16118305199581273,0.653024078448941,0.8685341906067932,0.40833386089858237,True,6,5,0,False,False,False,False,False,False
1662,0.2456889421878198,0.07231670692125934,0.11788442020333761,0.09524977932727054,0.3728740308627494,0.9206993439858011,0.2463083754973725,True,2,3,2,False,False,False,False,False,False
1681,0.16427624157225648,0.03234184716882424,0.04535275248166776,0.09346832862971029,0.36530465841247095,0.9735443330086123,0.08217131382263076,True,5,2,3,False,False,False,False,False,False
1701,0.13675710942369448,0.08753642276269508,0.1454995607958448,0.05370333967173081,0.19634347845033207,0.977968988763783,0.06842828902490661,True,4,3,2,False,False,False,False,False,False
1812,0.32750078283316414,0.07044047759062151,0.11448012952609055,0.18494925514524524,0.754006521361005,0.9632918276046647,0.11401569761239683,True,6,3,2,False,False,False,False,False,False
1850,0.21624123216499855,0.02969068861168929,0.040542405360140706,0.10694530745568803,0.42256825396302444,0.940240600876978,0.18561303717183053,True,4,3,2,False,False,False,False,False,False
2001,0.22711523906832376,0.05831263429101352,0.09247498164476341,0.10016293077609136,0.39374997947680973,0.9371795292555706,0.19512075608339807,True,4,3,2,False,False,False,False,False,False
